Number of Pulses: 50
Initial Voltage Duration (ms): 1000
Initial Voltage (V):-2.000000E+0
Read Voltage (V):50.000000E-3
ON Voltage (V):2.000000E+0
tON (ms):1
OFF Voltage (V):0.000000E+0
tOFF (ms):100
tWait (ms):100
Temperature (K): 449.100000E+0
Time stamp (s), Voltage (V), Current (A), Voltage (V), Current (A),Resistance (Ohm)
1.3970399999619E+2,5.000000E-2,2.770700E-8,-5.000000E-2,-2.486500E-8,1.912887E+6
1.4020399999619E+2,2.000000E+0,+001.939E-03,,,1.031460E+3
1.4021899986267E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.4290700006485E+2,5.000000E-2,2.744600E-8,-5.000000E-2,-2.483100E-8,1.909600E+6
1.4340700006485E+2,2.000000E+0,+001.939E-03,,,1.031460E+3
1.4342199993134E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.4609399986267E+2,5.000000E-2,2.783300E-8,-5.000000E-2,-2.453400E-8,1.906869E+6
1.4661000013351E+2,2.000000E+0,+001.939E-03,,,1.031460E+3
1.4662500000000E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.4931299972534E+2,5.000000E-2,2.766100E-8,-5.000000E-2,-2.478100E-8,1.898975E+6
1.4981299972534E+2,2.000000E+0,+001.939E-03,,,1.031460E+3
1.4982899999619E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.5251599979401E+2,5.000000E-2,2.786700E-8,-5.000000E-2,-2.479300E-8,1.903928E+6
1.5301599979401E+2,2.000000E+0,+001.946E-03,,,1.027749E+3
1.5303200006485E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.5575000000000E+2,5.000000E-2,2.799200E-8,-5.000000E-2,-2.453100E-8,1.897785E+6
1.5625000000000E+2,2.000000E+0,+001.946E-03,,,1.027749E+3
1.5625000000000E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.5895399999619E+2,5.000000E-2,2.787300E-8,-5.000000E-2,-2.482000E-8,1.892792E+6
1.5945399999619E+2,2.000000E+0,+001.946E-03,,,1.027749E+3
1.5946899986267E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.6215700006485E+2,5.000000E-2,2.799800E-8,-5.000000E-2,-2.483400E-8,1.896741E+6
1.6267199993134E+2,2.000000E+0,+001.952E-03,,,1.024590E+3
1.6268799972534E+2,0.000000E+0,-000.001E-03,,,0.000000E+0
1.6537500000000E+2,5.000000E-2,2.796200E-8,-5.000000E-2,-2.476000E-8,1.921340E+6
